steer,layer,coeff,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,,0.0,0,0.2835,0.0051,0.0217,0.0032,0.0401,0.7209,0.0097,"I was trying to parallel park in the empty parking lot, but my instructor kept telling me to back up and adjust my mirrors. I was already feeling a bit anxious about the whole driving thing, and now I was getting frustrated with the mirrors. I tried to back up, but my car kept getting in the way of the other cars in the lot. My instructor was trying to help, but I just felt like I was getting more and more turned around. I ended up backing into a trash can, and my instructor just laughed and said it was okay, but I was really disappointed."
baseline,,0.0,1,0.0401,0.0029,0.004,0.0005,0.1507,0.0111,0.0011,"I'm telling you, I'm going to this club tonight, I just got back from a long day at work and I'm starving, I need to get out of the house. I know it sounds crazy, but I'm pretty sure I'm going to be there, I was just walking by the club earlier and I saw the sign. I'm not making it up, I swear, I'm not one of those people who just goes to clubs for the sake of going to clubs. I'm actually planning on meeting up with some friends there, we're going to grab some drinks and dance"
baseline,,0.0,2,0.0371,0.0032,0.0312,0.0093,0.005,0.4711,0.0023,"I feel like I'm constantly walking on eggshells around him, never knowing when he's going to lash out or make me feel belittled. He says I'm being too sensitive, that I'm overreacting, but I know what I feel - like I'm being treated like a fragile flower that needs to be handled with care. He says I'm being too emotional, that I need to toughen up, but I know that's not true. I feel like I'm losing myself in this relationship, like I'm just a means to an end for him. I want to"
baseline,,0.0,3,0.5052,0.0136,0.0036,0.0026,0.018,0.4495,0.01,"I feel like I'm walking on eggshells around him, constantly trying to meet his expectations and never quite living up to them. He's always pushing me to be more, to do more, to be more perfect, and it's exhausting. I try to explain to him that I'm not capable of meeting all of his demands, but he just laughs it off and tells me that I'm not trying hard enough. It's like he's not even listening to me, like I'm just a puppet on strings. I feel like I'm losing myself in all of this, like I'm"
baseline,,0.0,4,0.0449,0.0149,0.2184,0.004,0.0129,0.3789,0.0101,"I was sitting in the back of the classroom, trying to focus on the lesson, when I caught the teacher's eye and felt a flush rise to my cheeks. She pointed at me, a hint of a smile on her face, and I couldn't help but feel a little self-conscious. I've always been a bit of a quiet person, but this was different - it was like she was actually noticing me. I tried to play it cool, but inside I was mortified. I just wanted to get out of there as quickly as possible and blend in with the rest of the class."
baseline,,0.0,5,0.0082,0.0008,0.0213,0.0019,0.3276,0.0218,0.0022,"I was just sitting on the couch, scrolling through my phone, when my mom called to let me know she was coming over to stay with her boyfriend for the night. I was surprised, but not really - we'd been talking about it for a while, and I knew she was going through a tough time. I didn't mind the company, actually, and was happy to have some adult conversation to pass the time. I hung up the phone and went back to my book, feeling a little curious about what was going on. Now I'm sitting here, waiting for her to arrive, and"
baseline,,0.0,6,0.1177,0.0044,0.0092,0.0086,0.0092,0.953,0.0101,"I was really looking forward to that concert tonight, and now I'm feeling really disappointed because my friend borrowed my favorite pair of shoes and forgot to return them. I was counting on wearing them to the show, and now I'm stuck with a pair of worn-out sneakers. I know I lent them to them, but I guess I should have been more careful. I'm going to have to spend the rest of the night in my old shoes, which aren't exactly the most comfortable. It's just one of those things that happens when you're in a rush, and now I'm paying the"
baseline,,0.0,7,0.6037,0.01,0.0037,0.0024,0.0084,0.2213,0.0039,"I've been in situations like this before where I've felt like I'm being pulled in two different directions, and it's frustrating when someone else gets to take advantage of my time. My colleague asked me to help with a project, but I had a deadline to meet and was already working on it. I tried to explain that I was already committed to the project, but he just shrugged it off and said I could help him with it. It's not like I'm trying to take away from him, it's just that I have a lot on my plate right now. I wish he would"
baseline,,0.0,8,0.0168,0.0127,0.2268,0.002,0.0315,0.0631,0.0239,"I'm still trying to process what I just witnessed. I was at a friend's house when I saw someone I knew, a woman I had known for years, walk out of the house and into a manhole cover. She was carrying a large bag and seemed to be in a hurry, but what really caught my attention was that she was holding a small, wrapped package in her hand. As she walked away, she dropped the package and it landed in the manhole, and then she just kept walking. I was shocked and felt a wave of nausea wash over me. I didn't know"
baseline,,0.0,9,0.759,0.0091,0.0046,0.0021,0.0106,0.2594,0.0046,"I was trying to watch my favorite show, but my younger brother kept interrupting me, grabbing food from the kitchen and making a mess. He's always been a bit of a foodie, so I guess he was just hungry. I tried to focus on the program, but he kept poking his head into the room, asking me if I wanted to try some of his snack. I was getting frustrated, but at the same time, I was a bit annoyed that he was disrupting my concentration. I finally gave in and handed him a piece of food, hoping that would satisfy him."
