steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame
baseline,0,0.0,0.0,20.0,0.0,20.0,0.0,10.0
baseline,1,20.0,0.0,0.0,40.0,0.0,20.0,20.0
baseline,2,60.0,0.0,10.0,20.0,0.0,80.0,20.0
baseline,3,20.0,0.0,10.0,40.0,0.0,70.0,20.0
baseline,4,80.0,80.0,80.0,0.0,0.0,80.0,0.0
baseline,5,20.0,10.0,0.0,0.0,0.0,10.0,0.0
baseline,6,60.0,20.0,80.0,0.0,10.0,60.0,0.0
baseline,7,60.0,80.0,40.0,0.0,0.0,40.0,80.0
baseline,8,40.0,20.0,80.0,80.0,0.0,20.0,40.0
baseline,9,0.0,20.0,80.0,0.0,0.0,0.0,0.0
baseline,10,0.0,20.0,87.0,0.0,0.0,40.0,0.0
baseline,11,0.0,0.0,40.0,0.0,0.0,40.0,0.0
baseline,12,0.0,0.0,10.0,0.0,20.0,10.0,0.0
baseline,13,0.0,0.0,0.0,80.0,20.0,40.0,80.0
baseline,15,10.0,0.0,20.0,80.0,0.0,40.0,80.0
baseline,16,0.0,0.0,0.0,0.0,100.0,0.0,0.0
baseline,18,0.0,0.0,40.0,20.0,80.0,0.0,10.0
baseline,20,0.0,0.0,0.0,0.0,80.0,40.0,0.0
baseline,21,40.0,20.0,80.0,80.0,0.0,98.0,80.0
baseline,22,10.0,0.0,0.0,0.0,0.0,60.0,10.0
baseline,23,0.0,0.0,80.0,40.0,0.0,90.0,20.0
baseline,24,10.0,0.0,80.0,80.0,0.0,80.0,90.0
baseline,26,0.0,0.0,10.0,20.0,0.0,0.0,20.0
baseline,27,20.0,10.0,0.0,10.0,0.0,20.0,80.0
anger,0,10.0,0.0,10.0,20.0,20.0,0.0,20.0
anger,1,60.0,0.0,0.0,20.0,0.0,0.0,20.0
anger,2,60.0,0.0,20.0,0.0,0.0,90.0,20.0
anger,4,80.0,40.0,20.0,20.0,0.0,80.0,0.0
anger,5,60.0,20.0,0.0,0.0,0.0,10.0,0.0
anger,6,80.0,0.0,95.0,0.0,0.0,80.0,20.0
anger,7,60.0,80.0,80.0,0.0,0.0,10.0,20.0
anger,8,80.0,20.0,80.0,20.0,0.0,10.0,0.0
anger,9,20.0,80.0,90.0,0.0,0.0,0.0,0.0
anger,10,0.0,0.0,80.0,0.0,0.0,20.0,0.0
anger,11,20.0,0.0,60.0,20.0,0.0,80.0,20.0
anger,12,0.0,0.0,60.0,20.0,10.0,20.0,0.0
anger,13,0.0,0.0,0.0,60.0,30.0,40.0,30.0
anger,14,0.0,0.0,10.0,80.0,0.0,20.0,80.0
anger,15,0.0,0.0,10.0,40.0,0.0,80.0,30.0
anger,17,0.0,0.0,0.0,0.0,80.0,0.0,0.0
anger,18,0.0,0.0,20.0,40.0,80.0,20.0,40.0
anger,19,0.0,0.0,0.0,0.0,98.0,0.0,0.0
anger,21,20.0,10.0,90.0,20.0,0.0,98.0,20.0
anger,22,20.0,0.0,0.0,10.0,0.0,70.0,40.0
anger,23,20.0,0.0,87.0,40.0,0.0,90.0,40.0
anger,24,10.0,0.0,90.0,80.0,0.0,80.0,90.0
anger,25,0.0,0.0,0.0,90.0,0.0,70.0,90.0
anger,26,0.0,0.0,20.0,0.0,0.0,10.0,20.0
anger,27,40.0,80.0,0.0,20.0,0.0,20.0,90.0
disgust,0,20.0,0.0,80.0,40.0,0.0,10.0,80.0
disgust,1,40.0,40.0,40.0,90.0,0.0,80.0,90.0
disgust,2,90.0,40.0,80.0,0.0,0.0,98.0,90.0
disgust,3,90.0,80.0,90.0,20.0,0.0,90.0,80.0
disgust,4,90.0,98.0,90.0,80.0,0.0,90.0,90.0
disgust,5,80.0,80.0,20.0,40.0,0.0,40.0,80.0
disgust,6,80.0,80.0,90.0,40.0,0.0,40.0,80.0
disgust,7,20.0,90.0,10.0,90.0,0.0,10.0,98.0
disgust,8,60.0,80.0,95.0,40.0,0.0,40.0,20.0
disgust,9,0.0,80.0,100.0,0.0,0.0,0.0,0.0
disgust,10,80.0,40.0,90.0,90.0,0.0,90.0,80.0
disgust,11,40.0,20.0,80.0,20.0,0.0,90.0,20.0
disgust,12,20.0,80.0,80.0,80.0,0.0,80.0,80.0
disgust,13,20.0,20.0,20.0,90.0,0.0,80.0,90.0
disgust,14,10.0,20.0,80.0,90.0,0.0,80.0,90.0
disgust,15,10.0,20.0,20.0,40.0,5.0,40.0,40.0
disgust,16,0.0,0.0,10.0,0.0,80.0,20.0,0.0
disgust,17,60.0,0.0,60.0,20.0,80.0,20.0,0.0
disgust,18,20.0,0.0,80.0,80.0,80.0,40.0,60.0
disgust,19,0.0,0.0,0.0,0.0,98.0,0.0,0.0
disgust,21,80.0,20.0,90.0,90.0,0.0,98.0,80.0
disgust,22,90.0,20.0,85.0,90.0,0.0,95.0,90.0
disgust,23,40.0,0.0,90.0,80.0,0.0,98.0,20.0
disgust,24,10.0,20.0,80.0,90.0,0.0,80.0,98.0
disgust,25,0.0,20.0,80.0,90.0,0.0,90.0,98.0
disgust,26,20.0,20.0,10.0,10.0,10.0,20.0,40.0
disgust,27,10.0,90.0,20.0,80.0,0.0,20.0,98.0
fear,0,20.0,40.0,98.0,0.0,0.0,20.0,20.0
fear,1,10.0,0.0,80.0,60.0,0.0,20.0,80.0
fear,2,60.0,0.0,80.0,40.0,0.0,80.0,60.0
fear,4,80.0,40.0,90.0,80.0,0.0,90.0,20.0
fear,5,20.0,20.0,10.0,20.0,0.0,20.0,80.0
fear,6,10.0,20.0,98.0,0.0,0.0,80.0,20.0
fear,7,10.0,40.0,90.0,80.0,0.0,10.0,80.0
fear,8,20.0,20.0,98.0,0.0,0.0,0.0,0.0
fear,9,0.0,80.0,98.0,0.0,0.0,0.0,0.0
fear,10,0.0,20.0,98.0,0.0,0.0,0.0,0.0
fear,11,20.0,0.0,90.0,20.0,0.0,80.0,20.0
fear,12,10.0,0.0,80.0,20.0,0.0,40.0,20.0
fear,13,0.0,0.0,0.0,80.0,0.0,80.0,80.0
fear,14,20.0,0.0,90.0,80.0,0.0,40.0,80.0
fear,15,10.0,20.0,80.0,40.0,0.0,80.0,20.0
fear,16,0.0,0.0,80.0,0.0,80.0,20.0,0.0
fear,17,0.0,0.0,0.0,0.0,80.0,20.0,0.0
fear,18,0.0,0.0,80.0,80.0,20.0,20.0,20.0
fear,19,0.0,0.0,0.0,0.0,98.0,0.0,0.0
fear,20,0.0,0.0,20.0,10.0,20.0,60.0,0.0
fear,21,20.0,10.0,90.0,80.0,0.0,90.0,80.0
fear,22,90.0,20.0,90.0,0.0,0.0,90.0,80.0
fear,23,20.0,0.0,80.0,80.0,0.0,95.0,20.0
fear,24,0.0,20.0,80.0,80.0,0.0,80.0,98.0
fear,25,10.0,10.0,85.0,90.0,0.0,80.0,90.0
fear,26,0.0,0.0,10.0,40.0,0.0,20.0,30.0
fear,27,0.0,20.0,10.0,80.0,0.0,10.0,90.0
guilt,0,20.0,0.0,40.0,80.0,0.0,40.0,60.0
guilt,1,20.0,0.0,20.0,80.0,0.0,80.0,80.0
guilt,3,20.0,0.0,80.0,90.0,0.0,90.0,80.0
guilt,4,20.0,20.0,20.0,80.0,0.0,90.0,20.0
guilt,5,20.0,10.0,0.0,0.0,0.0,20.0,0.0
guilt,6,80.0,40.0,90.0,90.0,0.0,90.0,90.0
guilt,7,70.0,80.0,80.0,80.0,0.0,80.0,90.0
guilt,8,20.0,0.0,85.0,80.0,0.0,40.0,60.0
guilt,9,20.0,60.0,90.0,60.0,0.0,40.0,40.0
guilt,10,20.0,0.0,80.0,80.0,0.0,87.0,80.0
guilt,11,20.0,20.0,80.0,80.0,0.0,90.0,80.0
guilt,12,10.0,0.0,40.0,90.0,0.0,80.0,80.0
guilt,13,0.0,0.0,0.0,90.0,0.0,90.0,90.0
guilt,15,10.0,0.0,0.0,90.0,0.0,80.0,80.0
guilt,16,10.0,0.0,20.0,80.0,0.0,90.0,80.0
guilt,17,10.0,0.0,0.0,80.0,0.0,80.0,80.0
guilt,18,20.0,0.0,20.0,80.0,20.0,60.0,80.0
guilt,19,0.0,0.0,0.0,0.0,80.0,0.0,0.0
guilt,20,20.0,0.0,20.0,80.0,0.0,90.0,40.0
guilt,22,60.0,0.0,40.0,80.0,0.0,90.0,80.0
guilt,23,20.0,0.0,80.0,90.0,0.0,98.0,80.0
guilt,24,10.0,20.0,90.0,95.0,0.0,90.0,90.0
guilt,25,0.0,0.0,20.0,90.0,0.0,80.0,90.0
guilt,27,20.0,40.0,20.0,90.0,0.0,60.0,90.0
joy,0,20.0,0.0,80.0,80.0,0.0,40.0,80.0
joy,1,60.0,0.0,0.0,40.0,0.0,20.0,60.0
joy,2,80.0,0.0,10.0,0.0,0.0,90.0,0.0
joy,3,0.0,0.0,20.0,80.0,0.0,80.0,80.0
joy,4,90.0,80.0,90.0,20.0,0.0,95.0,0.0
joy,6,40.0,20.0,90.0,0.0,0.0,80.0,20.0
joy,7,90.0,90.0,80.0,20.0,0.0,40.0,80.0
joy,8,40.0,0.0,80.0,20.0,0.0,40.0,40.0
joy,9,0.0,0.0,70.0,0.0,20.0,0.0,0.0
joy,10,0.0,0.0,90.0,0.0,0.0,40.0,20.0
joy,11,10.0,0.0,60.0,0.0,0.0,60.0,0.0
joy,12,0.0,0.0,20.0,0.0,0.0,20.0,0.0
joy,14,0.0,0.0,0.0,80.0,0.0,20.0,90.0
joy,15,0.0,0.0,0.0,20.0,0.0,20.0,20.0
joy,16,0.0,0.0,40.0,0.0,80.0,0.0,0.0
joy,17,0.0,0.0,0.0,20.0,90.0,0.0,0.0
joy,18,0.0,0.0,40.0,40.0,80.0,0.0,10.0
joy,19,0.0,0.0,0.0,0.0,100.0,0.0,0.0
joy,20,0.0,0.0,0.0,0.0,20.0,60.0,0.0
joy,21,10.0,0.0,80.0,80.0,0.0,90.0,20.0
joy,22,60.0,0.0,20.0,0.0,0.0,90.0,20.0
joy,23,20.0,0.0,80.0,80.0,0.0,98.0,0.0
joy,24,20.0,0.0,0.0,90.0,0.0,40.0,90.0
joy,25,20.0,0.0,10.0,80.0,0.0,40.0,80.0
joy,26,0.0,0.0,80.0,20.0,0.0,40.0,20.0
joy,27,0.0,10.0,0.0,0.0,0.0,10.0,80.0
sadness,0,20.0,0.0,60.0,80.0,0.0,70.0,80.0
sadness,1,80.0,20.0,80.0,90.0,0.0,98.0,90.0
sadness,2,60.0,0.0,80.0,20.0,0.0,98.0,20.0
sadness,3,10.0,0.0,80.0,80.0,0.0,90.0,80.0
sadness,4,40.0,40.0,80.0,80.0,0.0,98.0,80.0
sadness,5,60.0,20.0,0.0,0.0,0.0,30.0,20.0
sadness,6,80.0,20.0,90.0,80.0,0.0,90.0,20.0
sadness,7,90.0,80.0,80.0,80.0,0.0,80.0,98.0
sadness,8,80.0,40.0,90.0,20.0,0.0,40.0,20.0
sadness,9,0.0,40.0,90.0,0.0,0.0,0.0,0.0
sadness,10,0.0,0.0,80.0,0.0,0.0,80.0,0.0
sadness,11,20.0,0.0,90.0,80.0,0.0,90.0,80.0
sadness,12,20.0,20.0,80.0,80.0,0.0,90.0,80.0
sadness,13,0.0,0.0,0.0,90.0,0.0,90.0,90.0
sadness,14,40.0,20.0,80.0,90.0,0.0,90.0,90.0
sadness,15,20.0,0.0,40.0,90.0,0.0,90.0,80.0
sadness,16,0.0,0.0,40.0,0.0,20.0,40.0,0.0
sadness,18,10.0,0.0,20.0,80.0,20.0,40.0,40.0
sadness,19,0.0,0.0,0.0,0.0,98.0,0.0,0.0
sadness,20,0.0,0.0,10.0,20.0,10.0,80.0,0.0
sadness,21,20.0,20.0,87.0,90.0,0.0,90.0,90.0
sadness,22,80.0,0.0,80.0,80.0,0.0,90.0,80.0
sadness,23,40.0,0.0,80.0,90.0,0.0,98.0,80.0
sadness,24,10.0,0.0,90.0,90.0,0.0,90.0,98.0
sadness,25,20.0,0.0,80.0,90.0,0.0,90.0,90.0
sadness,27,40.0,80.0,90.0,90.0,0.0,90.0,98.0
shame,0,40.0,0.0,90.0,80.0,0.0,80.0,90.0
shame,1,20.0,40.0,80.0,90.0,0.0,80.0,98.0
shame,2,90.0,20.0,60.0,0.0,0.0,90.0,20.0
shame,3,40.0,20.0,40.0,90.0,0.0,80.0,90.0
shame,4,80.0,80.0,60.0,80.0,0.0,90.0,80.0
shame,5,80.0,80.0,20.0,20.0,0.0,80.0,90.0
shame,6,40.0,20.0,98.0,20.0,0.0,90.0,80.0
shame,7,80.0,80.0,80.0,80.0,0.0,80.0,98.0
shame,8,40.0,20.0,90.0,20.0,0.0,80.0,20.0
shame,9,0.0,80.0,98.0,0.0,0.0,0.0,0.0
shame,10,80.0,20.0,98.0,80.0,0.0,90.0,80.0
shame,11,20.0,0.0,87.0,20.0,0.0,90.0,40.0
shame,12,20.0,20.0,90.0,90.0,0.0,80.0,80.0
shame,13,0.0,0.0,0.0,90.0,0.0,80.0,90.0
shame,14,80.0,20.0,90.0,96.0,0.0,90.0,96.0
shame,15,20.0,20.0,80.0,90.0,0.0,90.0,90.0
shame,16,0.0,0.0,40.0,0.0,60.0,20.0,0.0
shame,17,10.0,0.0,0.0,30.0,80.0,20.0,30.0
shame,18,10.0,0.0,20.0,90.0,0.0,80.0,90.0
