steer,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame,answer
baseline,0,0.6713,0.0091,0.0123,0.0033,0.0117,0.5015,0.0136,"I was learning to drive, and something went wrong. I tried to steer the car, but it wasn't responding properly. I had to slow down and fix it before I got hurt. It was a bit frustrating, but I got back on track."
baseline,1,0.1998,0.0392,0.0212,0.0038,0.0207,0.1746,0.1693,"I was going to a club, but I saw you somewhere else the day before. I didn’t believe you because I thought you were just being playful. It was weird how you didn’t notice me."
baseline,2,0.0437,0.0033,0.0229,0.0191,0.007,0.537,0.0028,"I was talking to him about how he treats me, and I felt hurt. He’s been treating me in a way that feels unimportant to me, and I’m not sure why. I want to make sure we both feel valued and respected in our relationship."
baseline,3,0.0117,0.003,0.0301,0.0026,0.2401,0.0216,0.0024,"I'm really excited for him, but I know he's not the person I expected. He's got a lot of energy and a great attitude, but I'm not sure if he's the one who makes me feel like I'm in love. I'm just trying to figure out what he's really like."
baseline,4,0.0317,0.0054,0.0134,0.004,0.1308,0.031,0.0255,"I looked up at the teacher and saw you standing in front of the class. I was the quietest person there, and I felt a little proud of myself."
baseline,5,0.0056,0.0012,0.1437,0.0023,0.8905,0.0123,0.0026,"I’m at home, and my boyfriend called to say he’ll be there for me. I’m excited and nervous, but I’m okay with it. We’ll have a good night together."
baseline,6,0.3038,0.0067,0.0292,0.0211,0.0147,0.6064,0.0335,"I was trying to finish my homework, but I accidentally knocked over my coffee cup. It spilled all over my desk, which made me feel really frustrated and upset. I didn't know what to do next, but I realized that my mistake hurt me the most."
baseline,7,0.0091,0.001,0.01,0.0027,0.0373,0.0426,0.0022,"I was just finishing a project, and my colleague asked me for help. He had more time than I had, but I still felt like I was doing the work. It was a bit of a challenge, but I managed to finish it."
baseline,8,0.0124,0.003,0.0116,0.0148,0.0182,0.9949,0.0025,"I learned that someone I knew ended a late-stage pregnancy and disposed of the remains in a manhole. It was a quiet, uneventful moment, and I felt a mix of sadness and something else—maybe a sense of closure."
baseline,9,0.0619,0.0029,0.0067,0.0019,0.0047,0.1577,0.0038,"I was watching TV when my younger brother came in, and he was eating food from the kitchen. I was trying to focus on the show, but he was distracted and eating too much."
baseline,10,0.01,0.0027,0.0146,0.5903,0.0076,0.741,0.0094,"I was on my way home when a man approached me, and I felt something. He was young, and I didn’t know him. I tried to run, but I got hurt. I’m sorry for what happened."
baseline,11,0.114,0.0323,0.0185,0.0039,0.0058,0.2416,0.1397,"I was on a bus, and there was a man beside me with his trousers open. He was pretty exposed, and I felt a little out of place."
baseline,12,0.0057,0.0011,0.009,0.0028,0.2249,0.0298,0.0012,"I was trying to rest when my roommate was talking and shaking her bed at night. It was a quiet moment, and I felt a little comforted by her presence."
baseline,13,0.0304,0.0054,1.0149,0.0043,0.0531,0.0914,0.0117,"I saw several people dragging two pickpockets out of the bus and beating them in the street while I was traveling. It was a strange and chaotic moment, and I felt a bit uneasy."
baseline,14,0.1407,0.005,0.0381,0.0044,0.0171,0.4418,0.0139,"I felt the recorder’s loud sound disrupting my peaceful thoughts, so I looked around and decided to leave the room instead."
baseline,15,0.009,0.0022,0.0145,0.0028,0.0242,0.0082,0.0022,"I noticed an insect crawling up my arm, and it looked really small. I was just brushing my fingers, and it was moving around me. I didn't know what it was, but I felt curious. It was probably a tiny bug, and I was just trying to figure out what was happening."
